#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -15              13               2              HB  0.13362  0.13362  0.13362  0.13362   4200878D
              -16              13               1              HB  0.13417  0.13417  0.13417  0.13417   4200480D
              -16              13               2              HB  0.12312  0.12312  0.12312  0.12312   4200880D
               -1              14               1              HB  0.22975  0.22975  0.22975  0.22975   4200408E
               -2              14               1              HB  0.21032  0.21032  0.21032  0.21032   4200410E
               -3              14               1              HB  0.21353  0.21353  0.21353  0.21353   4200418E
               -4              14               1              HB  0.20016  0.20016  0.20016  0.20016   4200420E
               -5              14               1              HB  0.19367  0.19367  0.19367  0.19367   4200428E
               -6              14               1              HB  0.18872  0.18872  0.18872  0.18872   4200430E
               -7              14               1              HB  0.20382  0.20382  0.20382  0.20382   4200438E
               -8              14               1              HB  0.18126  0.18126  0.18126  0.18126   4200440E
               -9              14               1              HB  0.18736  0.18736  0.18736  0.18736   4200448E
              -10              14               1              HB  0.16932  0.16932  0.16932  0.16932   4200450E
              -11              14               1              HB  0.16846  0.16846  0.16846  0.16846   4200458E
              -12              14               1              HB  0.16988  0.16988  0.16988  0.16988   4200460E
              -13              14               1              HB  0.16908  0.16908  0.16908  0.16908   4200468E
              -14              14               1              HB  0.16727  0.16727  0.16727  0.16727   4200470E
              -15              14               1              HB  0.14483  0.14483  0.14483  0.14483   4200478E
              -15              14               2              HB  0.10420  0.10420  0.10420  0.10420   4200878E
              -16              14               1              HB  0.15976  0.15976  0.15976  0.15976   4200480E
              -16              14               2              HB  0.11926  0.11926  0.11926  0.11926   4200880E
               -1              15               1              HB  0.21017  0.21017  0.21017  0.21017   4200408F
               -2              15               1              HB  0.20802  0.20802  0.20802  0.20802   4200410F
               -3              15               1              HB  0.22307  0.22307  0.22307  0.22307   4200418F
               -4              15               1              HB  0.19632  0.19632  0.19632  0.19632   4200420F
               -5              15               1              HB  0.20833  0.20833  0.20833  0.20833   4200428F
               -6              15               1              HB  0.20120  0.20120  0.20120  0.20120   4200430F
               -7              15               1              HB  0.20071  0.20071  0.20071  0.20071   4200438F
               -8              15               1              HB  0.17503  0.17503  0.17503  0.17503   4200440F
               -9              15               1              HB  0.17410  0.17410  0.17410  0.17410   4200448F
              -10              15               1              HB  0.17704  0.17704  0.17704  0.17704   4200450F
              -11              15               1              HB  0.18421  0.18421  0.18421  0.18421   4200458F
              -12              15               1              HB  0.17090  0.17090  0.17090  0.17090   4200460F
              -13              15               1              HB  0.16861  0.16861  0.16861  0.16861   4200468F
              -14              15               1              HB  0.16470  0.16470  0.16470  0.16470   4200470F
              -15              15               1              HB  0.14585  0.14585  0.14585  0.14585   4200478F
              -15              15               2              HB  0.11041  0.11041  0.11041  0.11041   4200878F
              -16              15               1              HB  0.16401  0.16401  0.16401  0.16401   4200480F
              -16              15               2              HB  0.13117  0.13117  0.13117  0.13117   4200880F
               -1              16               1              HB  0.23451  0.23451  0.23451  0.23451   42004090
               -2              16               1              HB  0.20362  0.20362  0.20362  0.20362   42004110
               -3              16               1              HB  0.19137  0.19137  0.19137  0.19137   42004190
               -4              16               1              HB  0.20686  0.20686  0.20686  0.20686   42004210
               -5              16               1              HB  0.19576  0.19576  0.19576  0.19576   42004290
               -6              16               1              HB  0.19017  0.19017  0.19017  0.19017   42004310
               -7              16               1              HB  0.18271  0.18271  0.18271  0.18271   42004390
               -8              16               1              HB  0.18863  0.18863  0.18863  0.18863   42004410
               -9              16               1              HB  0.18583  0.18583  0.18583  0.18583   42004490
              -10              16               1              HB  0.16988  0.16988  0.16988  0.16988   42004510
              -11              16               1              HB  0.17150  0.17150  0.17150  0.17150   42004590
              -12              16               1              HB  0.18353  0.18353  0.18353  0.18353   42004610
              -13              16               1              HB  0.17484  0.17484  0.17484  0.17484   42004690
              -14              16               1              HB  0.15107  0.15107  0.15107  0.15107   42004710
              -15              16               1              HB  0.13033  0.13033  0.13033  0.13033   42004790
              -15              16               2              HB  0.13030  0.13030  0.13030  0.13030   42008790
              -16              16               1              HB  0.13717  0.13717  0.13717  0.13717   42004810
              -16              16               2              HB  0.12940  0.12940  0.12940  0.12940   42008810
               -1              17               1              HB  0.25613  0.25613  0.25613  0.25613   42004091
               -2              17               1              HB  0.24790  0.24790  0.24790  0.24790   42004111
               -3              17               1              HB  0.23394  0.23394  0.23394  0.23394   42004191
               -4              17               1              HB  0.24019  0.24019  0.24019  0.24019   42004211
               -5              17               1              HB  0.25341  0.25341  0.25341  0.25341   42004291
               -6              17               1              HB  0.24218  0.24218  0.24218  0.24218   42004311
               -7              17               1              HB  0.23551  0.23551  0.23551  0.23551   42004391
               -8              17               1              HB  0.23384  0.23384  0.23384  0.23384   42004411
               -9              17               1              HB  0.22715  0.22715  0.22715  0.22715   42004491
              -10              17               1              HB  0.22122  0.22122  0.22122  0.22122   42004511
              -11              17               1              HB  0.21049  0.21049  0.21049  0.21049   42004591
              -12              17               1              HB  0.22086  0.22086  0.22086  0.22086   42004611
              -13              17               1              HB  0.20596  0.20596  0.20596  0.20596   42004691
              -14              17               1              HB  0.18466  0.18466  0.18466  0.18466   42004711
              -15              17               1              HB  0.17206  0.17206  0.17206  0.17206   42004791
              -15              17               2              HB  0.14237  0.14237  0.14237  0.14237   42008791
              -16              17               1              HB  0.18011  0.18011  0.18011  0.18011   42004811
              -16              17               2              HB  0.15096  0.15096  0.15096  0.15096   42008811
               -1              18               1              HB  0.23651  0.23651  0.23651  0.23651   42004092
               -2              18               1              HB  0.21259  0.21259  0.21259  0.21259   42004112
               -3              18               1              HB  0.20803  0.20803  0.20803  0.20803   42004192
               -4              18               1              HB  0.20220  0.20220  0.20220  0.20220   42004212
               -5              18               1              HB  0.18602  0.18602  0.18602  0.18602   42004292
               -6              18               1              HB  0.19542  0.19542  0.19542  0.19542   42004312
               -7              18               1              HB  0.18669  0.18669  0.18669  0.18669   42004392
               -8              18               1              HB  0.19719  0.19719  0.19719  0.19719   42004412
               -9              18               1              HB  0.18632  0.18632  0.18632  0.18632   42004492
              -10              18               1              HB  0.17327  0.17327  0.17327  0.17327   42004512
              -11              18               1              HB  0.17533  0.17533  0.17533  0.17533   42004592
              -12              18               1              HB  0.17160  0.17160  0.17160  0.17160   42004612
              -13              18               1              HB  0.16734  0.16734  0.16734  0.16734   42004692
              -14              18               1              HB  0.16495  0.16495  0.16495  0.16495   42004712
              -15              18               1              HB  0.14614  0.14614  0.14614  0.14614   42004792
